step,rollout/ep_rew_mean,train/entropy_loss,entropy,algorithm,condition,safety,seed,experiment,run_id
30135,-189.13382339593252,-2.6019951172739804,2.6019951172739804,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
32141,-175.82414378856524,-2.5743734046384565,2.5743734046384565,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
34147,-165.85110198822343,-2.5716900795285658,2.5716900795285658,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
36153,-157.44049395001966,-2.5323689504549907,2.5323689504549907,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
38160,-149.37185530138834,-2.49609187410571,2.49609187410571,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
40166,-145.10691858076532,-2.4655951775715117,2.4655951775715117,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
42172,-145.15797270763818,-2.420763393093683,2.420763393093683,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
44178,-138.95537892580484,-2.397845116027572,2.397845116027572,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
46184,-136.77815464361444,-2.373982895824983,2.373982895824983,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
48191,-125.75296325929541,-2.3613430150317125,2.3613430150317125,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
50197,-121.63077723098841,-2.350794334488114,2.350794334488114,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
52203,-120.79686862747295,-2.3554273320370838,2.3554273320370838,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
54209,-116.98403479452182,-2.348535340194343,2.348535340194343,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
56216,-109.89924204715952,-2.3264015475302053,2.3264015475302053,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
58222,-108.11380944954419,-2.3031248682310603,2.3031248682310603,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
60228,-107.27999852100622,-2.2946722251395286,2.2946722251395286,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
62234,-101.54048319106609,-2.269961076905097,2.269961076905097,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
64240,-96.60686189779591,-2.275093697999424,2.275093697999424,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
66247,-95.41800364444843,-2.2723859426096324,2.2723859426096324,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
68253,-93.98373881607385,-2.2551873351443876,2.2551873351443876,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
70259,-89.85968642151332,-2.229696072082119,2.229696072082119,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
72265,-92.56321797848568,-2.230728759955091,2.230728759955091,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
74272,-94.16312610631027,-2.2193946703285614,2.2193946703285614,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
76278,-92.69723177746015,-2.2183206647710354,2.2183206647710354,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
78284,-89.61660375580539,-2.1968840146265722,2.1968840146265722,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
80290,-85.37647885367586,-2.184749329928944,2.184749329928944,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
82296,-78.54039052617453,-2.177508515215173,2.177508515215173,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
84303,-75.07595876208292,-2.1707617943975106,2.1707617943975106,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
86309,-75.108133267771,-2.161531311313091,2.161531311313091,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
88315,-74.68304352253232,-2.158540363130469,2.158540363130469,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
90321,-76.43977604705132,-2.147167981559176,2.147167981559176,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
92328,-75.48866012631068,-2.1413886846375436,2.1413886846375436,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
94334,-75.1404160834851,-2.1368941315674115,2.1368941315674115,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
96340,-73.82190716419026,-2.133491740604377,2.133491740604377,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
98346,-74.07249392259725,-2.129717660534791,2.129717660534791,FP3O,Type-Conditioned,True,seed_3,FP3O_Coupled_Safety_True,39
